"Format","MoTeC CSV File",,,"Workbook",""
"Venue","E14",,,"Worksheet",""
"Vehicle","Formula1",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","M800"
"Comment","",,,"Session","10/6/2019_WarmUp_EnduranceTune_Joe_2_NoFan"
"Log Date","10/6/2019",,,"Origin Time","0.000","s"
"Log Time","12:50:13 PM",,,"Start Time","0.000","s"
"Sample Rate","10.000","Hz",,"End Time","215.000","s"
"Duration","215.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Engine RPM","Throttle Pos","Manifold Pres","Air Temp Inlet","Engine Temp","Lambda 1","Fuel Temp","Fuel Pres","Eng Oil Temp","Eng Oil Pres","G Force Lat","G Force Long","Rotary 1","Rotary 2","Fuel Pressure Sense","Drive Speed Left","Ground Speed Left","Ground Speed Right","Bat Volts ECU","La 1 Short Trim","La 1 Long Trim","Lambda 1 Aim","Fuel Cut Level Total","Ign Cut Level Total","RPM Limit Cut Level","Gear Chg Cut Level","Fuel Actual PW","Fuel Effective PW","Fuel Accel","Fuel Decel","Overrun Recovery PW","Ign Advance","Fuel Base PW","Fuel MAP Comp","Fuel AT Comp","Fuel ET Comp","Fuel Dead Time Prim","Fuel Comp 1","Fuel Starting Comp","Fuel La Comp","Fuel Accel Clamp","Fuel Decel Clamp","Ign Base Advance","Ign AT Comp","Ign ET Comp","Ign Comp 1","Ign Gear Cut Retard"
"s","rpm","%","bar","C","C","LA","C","psi","C","bar","G","G","","","psi","","","","V","%","%","","%","%","%","%","mSec","mSec","mSec","mSec","mSec","dBTDC","mSec","%","%","%","mSec","%","%","%","mSec","mSec","deg","","","",""


"0.000","190","25.2","0.991","25.4","24.0","0.000","22.8","42.4","24.8","1.047","0.036","1.709","3","1","57.3","0.0","0.0","0.0","11.46","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.620","4.680","0.000","0.000","2.800","44.0","2.946","0.0","-0.1","26.0","0.992","0.0","26.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.100","248","25.4","0.990","25.4","24.0","0.000","22.8","42.4","24.8","1.077","0.037","6.082","3","1","57.4","0.0","0.0","0.0","11.38","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.662","4.600","0.000","0.000","2.800","44.0","2.906","0.0","-0.1","26.0","0.992","0.0","26.1","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.200","324","25.8","0.988","25.4","24.0","0.000","22.8","42.4","24.8","1.107","0.037","2.339","3","1","57.4","0.0","0.0","0.0","11.29","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.612","4.518","0.000","0.000","2.800","44.0","2.858","0.0","-0.1","26.0","0.992","0.0","26.2","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.300","343","26.3","0.985","25.5","24.0","0.000","22.8","42.4","24.8","1.137","0.037","-7.134","3","1","57.5","0.0","0.0","0.0","11.21","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.628","4.514","0.000","0.000","2.800","44.0","2.860","0.0","-0.1","26.0","0.992","0.0","26.3","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.400","369","26.3","0.988","25.5","24.0","0.000","22.8","42.4","24.8","1.167","0.037","0.891","3","1","57.6","0.0","0.0","0.0","11.12","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.640","4.520","0.000","0.000","2.800","44.0","2.864","0.0","-0.1","26.0","0.992","0.0","26.4","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.500","455","26.3","0.989","25.5","24.0","0.000","22.8","42.4","24.8","1.198","0.036","5.307","3","1","57.7","0.0","0.0","0.0","11.04","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.550","4.416","0.000","0.000","2.800","44.0","2.802","0.0","-0.1","26.0","0.992","0.0","26.5","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.600","332","26.3","0.985","25.5","24.0","0.000","22.8","42.4","24.8","1.228","0.036","2.647","3","1","57.7","0.0","0.0","0.0","10.96","0.0","0.0","0.987","0.0","0.0","0.0","0.0","5.622","4.482","0.000","0.000","2.800","44.0","2.854","0.0","-0.1","26.0","0.992","0.0","26.5","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
