"Format","MoTeC CSV File",,,"Workbook",""
"Venue","E14",,,"Worksheet",""
"Vehicle","Formula1",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","M800"
"Comment","",,,"Session","10/6/2019_WarmUp_EnduranceTune_Joe"
"Log Date","10/6/2019",,,"Origin Time","0.000","s"
"Log Time","10:13:48 AM",,,"Start Time","0.000","s"
"Sample Rate","10.000","Hz",,"End Time","473.000","s"
"Duration","473.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Engine RPM","Throttle Pos","Manifold Pres","Air Temp Inlet","Engine Temp","Lambda 1","Fuel Temp","Fuel Pres","Eng Oil Temp","Eng Oil Pres","G Force Lat","G Force Long","Rotary 1","Rotary 2","Fuel Pressure Sense","Drive Speed Left","Ground Speed Left","Ground Speed Right","Bat Volts ECU","La 1 Short Trim","La 1 Long Trim","Lambda 1 Aim","Fuel Cut Level Total","Ign Cut Level Total","RPM Limit Cut Level","Gear Chg Cut Level","Fuel Actual PW","Fuel Effective PW","Fuel Accel","Fuel Decel","Overrun Recovery PW","Ign Advance","Fuel Base PW","Fuel MAP Comp","Fuel AT Comp","Fuel ET Comp","Fuel Dead Time Prim","Fuel Comp 1","Fuel Starting Comp","Fuel La Comp","Fuel Accel Clamp","Fuel Decel Clamp","Ign Base Advance","Ign AT Comp","Ign ET Comp","Ign Comp 1","Ign Gear Cut Retard"
"s","rpm","%","bar","C","C","LA","C","psi","C","bar","G","G","","","psi","","","","V","%","%","","%","%","%","%","mSec","mSec","mSec","mSec","mSec","dBTDC","mSec","%","%","%","mSec","%","%","%","mSec","mSec","deg","","","",""


"0.000","159","25.0","0.990","17.3","16.4","0.000","17.4","42.4","16.9","1.047","0.025","-3.726","3","1","57.3","0.0","0.0","0.0","11.54","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.234","5.320","0.000","0.000","2.800","43.7","2.942","0.0","1.5","33.6","0.976","0.0","33.6","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.100","231","25.2","0.990","17.3","16.4","0.000","17.4","42.4","16.9","1.639","0.025","-5.542","3","1","56.9","0.0","0.0","0.0","11.55","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.256","5.190","0.000","0.000","2.800","43.7","2.876","0.0","1.5","33.6","0.976","0.0","33.6","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.200","387","25.5","0.987","17.3","16.4","0.000","17.4","42.4","16.9","2.231","0.027","-0.673","3","1","56.5","0.0","0.0","0.0","11.56","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.240","5.128","0.000","0.000","2.800","43.7","2.846","0.0","1.5","33.6","0.976","0.0","33.6","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.300","346","25.7","0.985","17.3","16.4","0.000","17.4","42.4","16.9","2.824","0.027","-6.836","3","1","56.1","0.0","0.0","0.0","11.57","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.290","5.148","0.000","0.000","2.800","43.7","2.864","0.0","1.5","33.6","0.976","0.0","33.7","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.400","309","25.8","0.984","17.3","16.4","0.000","17.4","42.4","16.9","3.416","0.027","-10.204","3","1","55.7","0.0","0.0","0.0","11.58","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.306","5.150","0.000","0.000","2.800","43.7","2.868","0.0","1.5","33.6","0.976","0.0","33.7","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.500","887","25.8","0.988","17.3","16.5","0.000","17.4","42.4","16.9","4.008","0.027","-3.792","3","1","55.3","0.0","0.0","0.0","11.60","0.0","0.0","0.988","0.0","0.0","0.0","0.0","6.226","5.054","0.000","0.000","2.800","43.7","2.818","0.0","1.5","33.5","0.976","0.0","33.7","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
"0.600","743","25.8","0.971","17.3","16.5","0.000","17.4","42.4","16.8","4.600","0.027","4.514","3","1","54.8","0.0","0.0","0.0","11.61","0.0","0.0","0.988","0.0","0.0","0.0","0.0","5.934","4.766","0.000","0.000","2.800","44.6","2.624","0.0","1.5","33.5","0.976","0.0","33.7","0.0","2.100","0.010","44.0","-0.3","0.0","0.0","0.0"
