"Format","MoTeC CSV File",,,"Workbook",""
"Venue","E14",,,"Worksheet",""
"Vehicle","Formula1",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","M800"
"Comment","",,,"Session","10/6/2019_Autocross10laps_EnduranceTune_Joe"
"Log Date","10/6/2019",,,"Origin Time","0.000","s"
"Log Time","12:59:32 PM",,,"Start Time","0.000","s"
"Sample Rate","10.000","Hz",,"End Time","368.000","s"
"Duration","368.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Engine RPM","Throttle Pos","Manifold Pres","Air Temp Inlet","Engine Temp","Lambda 1","Fuel Temp","Fuel Pres","Eng Oil Temp","Eng Oil Pres","G Force Lat","G Force Long","Rotary 1","Rotary 2","Fuel Pressure Sense","Drive Speed Left","Ground Speed Left","Ground Speed Right","Bat Volts ECU","La 1 Short Trim","La 1 Long Trim","Lambda 1 Aim","Fuel Cut Level Total","Ign Cut Level Total","RPM Limit Cut Level","Gear Chg Cut Level","Fuel Actual PW","Fuel Effective PW","Fuel Accel","Fuel Decel","Overrun Recovery PW","Ign Advance","Fuel Base PW","Fuel MAP Comp","Fuel AT Comp","Fuel ET Comp","Fuel Dead Time Prim","Fuel Comp 1","Fuel Starting Comp","Fuel La Comp","Fuel Accel Clamp","Fuel Decel Clamp","Ign Base Advance","Ign AT Comp","Ign ET Comp","Ign Comp 1","Ign Gear Cut Retard"
"s","rpm","%","bar","C","C","LA","C","psi","C","bar","G","G","","","psi","","","","V","%","%","","%","%","%","%","mSec","mSec","mSec","mSec","mSec","dBTDC","mSec","%","%","%","mSec","%","%","%","mSec","mSec","deg","","","",""


"0.000","183","30.9","0.992","28.1","89.7","0.000","27.8","42.4","66.7","1.047","0.038","3.240","3","1","56.7","0.0","0.0","0.0","12.14","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.780","2.944","0.000","0.000","2.800","44.0","2.958","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.100","256","30.9","0.988","28.1","89.7","0.000","27.8","42.4","66.7","1.052","0.037","-1.117","3","1","56.8","0.0","0.0","0.0","11.98","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.838","2.888","0.000","0.000","2.800","44.0","2.902","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.200","305","30.9","0.987","28.1","89.6","0.000","27.8","42.4","66.7","1.057","0.039","6.302","3","1","57.0","0.0","0.0","0.0","11.83","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.884","2.868","0.000","0.000","2.800","44.0","2.882","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.300","317","30.9","0.987","28.2","89.6","0.000","27.9","42.4","66.7","1.061","0.039","13.554","3","1","57.1","0.0","0.0","0.0","11.67","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.932","2.862","0.000","0.000","2.800","44.0","2.876","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.400","431","30.9","0.989","28.2","89.6","0.000","27.9","42.4","66.7","1.066","0.039","5.509","3","1","57.2","0.0","0.0","0.0","11.52","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.936","2.846","0.000","0.000","2.800","44.0","2.860","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.500","427","31.0","0.988","28.2","89.6","0.000","27.9","42.4","66.7","1.071","0.041","3.873","3","1","57.4","0.0","0.0","0.0","11.36","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.932","2.816","0.000","0.000","2.800","44.0","2.830","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
"0.600","335","31.0","0.986","28.2","89.5","0.000","27.9","42.4","66.7","1.076","0.037","-4.093","3","1","57.5","0.0","0.0","0.0","11.20","0.0","0.0","0.987","0.0","0.0","0.0","0.0","3.964","2.836","0.000","0.000","2.800","44.0","2.850","0.0","-0.5","0.0","0.872","0.0","0.0","0.0","2.100","0.010","44.0","0.0","0.0","0.0","0.0"
