"Format","MoTeC CSV File",,,"Workbook",""
"Venue","E14",,,"Worksheet",""
"Vehicle","Formula1",,,"Vehicle Desc",""
"Driver","",,,"Engine ID",""
"Device","M800"
"Comment","",,,"Session","10/6/2019_Autocross10laps_EnduranceTune_Joe_smallradiator"
"Log Date","10/6/2019",,,"Origin Time","0.000","s"
"Log Time","3:36:51 PM",,,"Start Time","0.000","s"
"Sample Rate","10.000","Hz",,"End Time","301.000","s"
"Duration","301.000","s",,"Start Distance",
"Range","entire outing",,,"End Distance",
"Beacon Markers",""


"Time","Engine RPM","Throttle Pos","Manifold Pres","Air Temp Inlet","Engine Temp","Lambda 1","Fuel Temp","Fuel Pres","Eng Oil Temp","Eng Oil Pres","G Force Lat","G Force Long","Rotary 1","Rotary 2","Fuel Pressure Sense","Drive Speed Left","Ground Speed Left","Ground Speed Right","Bat Volts ECU","La 1 Short Trim","La 1 Long Trim","Lambda 1 Aim","Fuel Cut Level Total","Ign Cut Level Total","RPM Limit Cut Level","Gear Chg Cut Level","Fuel Actual PW","Fuel Effective PW","Fuel Accel","Fuel Decel","Overrun Recovery PW","Ign Advance","Fuel Base PW","Fuel MAP Comp","Fuel AT Comp","Fuel ET Comp","Fuel Dead Time Prim","Fuel Comp 1","Fuel Starting Comp","Fuel La Comp","Fuel Accel Clamp","Fuel Decel Clamp","Ign Base Advance","Ign AT Comp","Ign ET Comp","Ign Comp 1","Ign Gear Cut Retard"
"s","rpm","%","bar","C","C","LA","C","psi","C","bar","G","G","","","psi","","","","V","%","%","","%","%","%","%","mSec","mSec","mSec","mSec","mSec","dBTDC","mSec","%","%","%","mSec","%","%","%","mSec","mSec","deg","","","",""


"0.000","351","17.0","0.984","27.7","80.9","0.000","-20.8","42.4","89.1","0.998","0.006","-1.172","4","1","48.3","0.0","0.0","0.0","13.10","0.0","0.0","0.990","0.0","0.0","0.0","0.0","3.584","2.846","0.000","0.000","2.800","44.0","2.860","0.0","-0.5","0.0","0.768","0.0","0.0","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.100","464","28.2","0.985","28.1","81.1","0.000","-15.3","42.4","89.7","1.029","0.027","6.913","4","1","49.2","0.0","0.0","0.0","12.89","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.746","4.920","0.000","0.000","2.800","44.0","2.846","0.0","-0.6","0.0","0.768","0.0","0.9","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.200","436","32.0","0.985","28.5","81.3","0.000","-9.8","42.4","90.4","1.061","0.028","1.536","4","1","50.1","0.0","0.0","0.0","12.67","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.700","4.832","2.020","0.000","2.800","44.0","2.826","0.0","-0.6","0.0","0.768","0.0","1.9","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.300","376","19.1","0.984","28.9","81.5","0.000","-4.3","42.4","91.0","1.092","0.029","-2.068","4","1","51.0","0.0","0.0","0.0","12.46","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.734","4.794","2.020","0.000","2.800","44.0","2.862","0.0","-0.7","0.0","0.768","0.0","2.8","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.400","498","27.5","0.985","29.3","81.7","0.000","1.2","42.4","91.7","1.123","0.031","-1.115","4","1","51.9","0.0","0.0","0.0","12.24","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.868","4.886","2.100","0.000","2.800","44.0","2.808","0.0","-0.7","0.0","0.768","0.0","3.8","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.500","374","33.4","0.986","29.7","81.9","0.000","6.7","42.4","92.3","1.155","0.029","12.639","4","1","52.8","0.0","0.0","0.0","12.03","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.902","4.874","2.100","0.000","2.800","44.0","2.854","0.0","-0.8","0.0","0.768","0.0","4.7","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
"0.600","528","19.9","0.987","30.0","82.0","0.000","12.1","42.4","92.9","1.186","0.029","0.172","4","1","53.6","0.0","0.0","0.0","11.82","0.0","0.0","0.990","0.0","0.0","0.0","0.0","5.782","4.728","1.972","0.000","2.800","44.0","2.782","0.0","-0.9","0.0","0.768","0.0","5.6","0.0","2.100","0.024","44.0","0.0","0.0","0.0","0.0"
